"","Classification_orig","Class_orig_short","perc_subsample","ClinicalStudy","Tissue","mean_accuracy","sd_accuracy","se_accuracy"
"154","UniLyT_UniLyT","UniLyT_UniLyT","70%","MLD","PB",0.984825046040516,0.0876355360528941,0.00291310378784559
"155","UniLyT_UniLyT","UniLyT_UniLyT","70%","WAS","BM",0.974976657329598,0.107557817930661,0.0040252501702106
"156","UniLyT_UniLyT","UniLyT_UniLyT","70%","WAS","PB",0.975411354473139,0.106738948862469,0.00255300818709128
"157","UniLyT_UniLyT","UniLyT_UniLyT","80%","BTHAL","BM",0.995744680851064,0.0291729982995789,0.00425531914893617
"158","UniLyT_UniLyT","UniLyT_UniLyT","80%","BTHAL","PB",0.996774193548387,0.028873559645213,0.00231918012012543
"159","UniLyT_UniLyT","UniLyT_UniLyT","80%","MLD","BM",0.997008547008547,0.0234297399971638,0.0015316500185121
"160","UniLyT_UniLyT","UniLyT_UniLyT","80%","MLD","PB",0.991270718232044,0.04956713818741,0.00164766742476771
"161","UniLyT_UniLyT","UniLyT_UniLyT","80%","WAS","BM",0.982291249833267,0.0724315348563742,0.00271068206494474
"162","UniLyT_UniLyT","UniLyT_UniLyT","80%","WAS","PB",0.982831626166866,0.0733815081536499,0.00175515679228547
"163","UniLyT_UniLyT","UniLyT_UniLyT","90%","BTHAL","BM",0.997872340425532,0.0145864991497894,0.00212765957446808
"164","UniLyT_UniLyT","UniLyT_UniLyT","90%","BTHAL","PB",0.998709677419355,0.01606438657805,0.00129032258064516
"165","UniLyT_UniLyT","UniLyT_UniLyT","90%","MLD","BM",0.997435897435897,0.0276754286257746,0.00180919936679319
"166","UniLyT_UniLyT","UniLyT_UniLyT","90%","MLD","PB",0.994226519337017,0.0341693233585134,0.0011358267409208
"167","UniLyT_UniLyT","UniLyT_UniLyT","90%","WAS","BM",0.987363834422658,0.0591036964520027,0.00221190024844935
"168","UniLyT_UniLyT","UniLyT_UniLyT","90%","WAS","PB",0.985939032363518,0.0637650757251524,0.00152514861830394
"169","UniMyeloid_UniMyeloid","UniMy_UniMy","50%","BTHAL","BM",0.996322688484209,0.0399628571128155,0.00112448807693531
"170","UniMyeloid_UniMyeloid","UniMy_UniMy","50%","BTHAL","PB",0.993776520509194,0.0507184497443498,0.00110127463428426
"171","UniMyeloid_UniMyeloid","UniMy_UniMy","50%","MLD","BM",0.983134327852638,0.0815965303360817,0.000842860210023815
"172","UniMyeloid_UniMyeloid","UniMy_UniMy","50%","MLD","PB",0.983285014545013,0.0801097444999984,0.000616648559636281
"173","UniMyeloid_UniMyeloid","UniMy_UniMy","50%","WAS","BM",0.96943426943427,0.10783366788288,0.00520625854523215
"174","UniMyeloid_UniMyeloid","UniMy_UniMy","50%","WAS","PB",0.961117053906909,0.118802745967023,0.00261120702921517
"175","UniMyeloid_UniMyeloid","UniMy_UniMy","70%","BTHAL","BM",0.996832937450515,0.0412496146051434,0.00116069528439161
"176","UniMyeloid_UniMyeloid","UniMy_UniMy","70%","BTHAL","PB",0.995468594478495,0.0452393729679772,0.000982304746530795
"177","UniMyeloid_UniMyeloid","UniMy_UniMy","70%","MLD","BM",0.986841080150939,0.0748680680969966,0.000773357829559669
"178","UniMyeloid_UniMyeloid","UniMy_UniMy","70%","MLD","PB",0.987148895227938,0.0724640113502468,0.000557795165912653
"179","UniMyeloid_UniMyeloid","UniMy_UniMy","70%","WAS","BM",0.977991452991453,0.0901354279043039,0.00435177946710128
"180","UniMyeloid_UniMyeloid","UniMy_UniMy","70%","WAS","PB",0.967277432712215,0.117999244136852,0.00259354658197675
"181","UniMyeloid_UniMyeloid","UniMy_UniMy","80%","BTHAL","BM",0.997923814550893,0.0267633062485347,0.000753074753661561
"182","UniMyeloid_UniMyeloid","UniMy_UniMy","80%","BTHAL","PB",0.997249724972497,0.026738470660073,0.000580585559020813
"183","UniMyeloid_UniMyeloid","UniMy_UniMy","80%","MLD","BM",0.991045134443022,0.0517053674792974,0.000534096201314678
"184","UniMyeloid_UniMyeloid","UniMy_UniMy","80%","MLD","PB",0.991031398042419,0.0503001420756618,0.000387187730457158
"185","UniMyeloid_UniMyeloid","UniMy_UniMy","80%","WAS","BM",0.985677285677286,0.0556493458256863,0.00268677573460852
"186","UniMyeloid_UniMyeloid","UniMy_UniMy","80%","WAS","PB",0.979775323978223,0.0759582069469926,0.0016695119485001
"187","UniMyeloid_UniMyeloid","UniMy_UniMy","90%","BTHAL","BM",0.99833729216152,0.0200338128107531,0.000563718043923878
"188","UniMyeloid_UniMyeloid","UniMy_UniMy","90%","BTHAL","PB",0.997773586882498,0.0226142564456018,0.000491034468172306
"189","UniMyeloid_UniMyeloid","UniMy_UniMy","90%","MLD","BM",0.992668172333665,0.0447953275135649,0.000462718194029302
"190","UniMyeloid_UniMyeloid","UniMy_UniMy","90%","MLD","PB",0.993169040047928,0.0423673833958754,0.000326124944096222
"191","UniMyeloid_UniMyeloid","UniMy_UniMy","90%","WAS","BM",0.988552188552189,0.051521799329074,0.00248749591188961
"192","UniMyeloid_UniMyeloid","UniMy_UniMy","90%","WAS","PB",0.983240740740741,0.0642501774390113,0.00141217708051662
